ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
4250,David J. Anear,M,28,175,80,Australia,AUS,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
4578,Serhiy Antonov,M,35,185,92,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
4614,Mohamad Khairul Anuar,M,20,171,75,Malaysia,MAS,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
4614,Mohamad Khairul Anuar,M,24,171,75,Malaysia,MAS,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
5045,Ismely Arias Castillo,M,23,170,63,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
5984,Miika Juha Ilmari Aulio,M,24,174,65,Finland,FIN,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
6067,Izzet Avc,M,35,178,82,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
6067,Izzet Avc,M,39,178,82,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
6082,Rafel Aveleyra,M,40,180,NA,Mexico,MEX,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
6314,Jorge Azevedo,M,38,168,70,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
6383,Ba Yongshan,M,22,180,70,China,CHN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
6710,Bair Dorzhiyevich Badyonov,M,20,178,75,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
6710,Bair Dorzhiyevich Badyonov,M,24,178,75,Russia,RUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
6710,Bair Dorzhiyevich Badyonov,M,32,178,75,Russia,RUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,Bronze
6753,Andr Baeyens,M,25,168,NA,Belgium,BEL,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
7156,Boris Bal,M,18,182,72,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
7164,Istvn Balzs,M,28,178,75,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
7399,Marcel Balthasar,M,33,187,NA,Luxembourg,LUX,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
7427,Paul Bamber,M,27,175,65,Zimbabwe,ZIM,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
7488,Rahul Banerjee,M,25,179,80,India,IND,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
7951,David Paul Barnes,M,18,185,82,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
8174,"Jack Leonard ""Jay"" Barrs, Jr.",M,26,182,70,United States,USA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,Gold
8174,"Jack Leonard ""Jay"" Barrs, Jr.",M,30,182,70,United States,USA,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
8253,Manfred Barth,M,43,176,62,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
9711,ngel Bello,M,37,NA,65,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
10314,Edgardo R. Berdeguer,M,22,170,66,Puerto Rico,PUR,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
10613,Andrei Berki,M,27,174,68,Romania,ROU,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
11741,Mihai Brzu,M,25,173,62,Romania,ROU,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
11793,"Ronald Proctor ""Ron"" Bishop",M,41,179,NA,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
11799,Matteo Bisiani,M,19,184,85,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
11799,Matteo Bisiani,M,24,184,85,Italy,ITA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
11892,Gert Sture Bjerendal,M,29,186,83,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
11892,Gert Sture Bjerendal,M,33,186,83,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
11893,Gran Melker Bjerendal,M,28,183,98,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
11893,Gran Melker Bjerendal,M,32,183,98,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
11893,Gran Melker Bjerendal,M,36,183,98,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
11893,Gran Melker Bjerendal,M,44,183,98,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
12018,Pierre Blacks,M,27,182,75,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
12070,Christopher John Blake,M,31,180,81,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
12070,Christopher John Blake,M,35,180,81,Australia,AUS,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
12255,Mark A. Blenkarne,M,22,183,70,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
12446,Ernesto Horacio Boardman Lpez,M,23,175,92,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
12622,Alexandru Bodnar,M,18,176,59,Romania,ROU,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
13799,"Alf Olov Egil ""Olle"" Bostrm",M,46,171,NA,Sweden,SWE,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
14756,Andr Spatz Braun,M,36,178,128,Luxembourg,LUX,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
14756,Andr Spatz Braun,M,40,178,128,Luxembourg,LUX,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
15886,Alan Bryant,M,33,182,76,Zimbabwe,ZIM,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
16356,Martin Bul,M,39,186,94,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
16421,Yehya Bundhun,M,35,175,72,Mauritius,MRI,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
16421,Yehya Bundhun,M,39,175,72,Mauritius,MRI,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
16671,"John David ""J. D."" Burnes",M,20,178,78,Canada,CAN,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
16870,Omar Bustani Barrientos,M,22,185,90,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
16870,Omar Bustani Barrientos,M,26,185,90,Mexico,MEX,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
17162,Luis Francis Mendiola Cabral,M,32,NA,NA,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
17232,Sylvain Cadieux,M,17,182,77,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
17816,"Bernard Wilhelmus Leonard ""Berny"" Camps",M,21,180,68,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
17989,Denis Canuel,M,25,176,75,Canada,CAN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
19856,Jorge Pablo Chapoy Bosque,M,31,181,91,Mexico,MEX,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
20268,Chen Szu-Yuan,M,23,170,70,Chinese Taipei,TPE,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
20268,Chen Szu-Yuan,M,27,170,70,Chinese Taipei,TPE,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
20321,Chen Yu-Cheng,M,19,180,72,Chinese Taipei,TPE,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
20348,Vladimir Andreyevich Chendarov,M,20,176,66,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
20360,Cheng Chu Sian,M,22,182,85,Malaysia,MAS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
20360,Cheng Chu Sian,M,26,182,85,Malaysia,MAS,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
20874,Chiu Ping-Kun,M,24,172,70,Chinese Taipei,TPE,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
20932,Cho Sheng-Ling,M,19,171,72,Chinese Taipei,TPE,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
21077,Choi Won-Tae,M,16,170,58,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
22252,Robert Cogniaux,M,38,173,75,Belgium,BEL,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
22252,Robert Cogniaux,M,42,173,75,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
22252,Robert Cogniaux,M,46,173,75,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
22730,"James ""Jim"" Conroy",M,33,179,127,Ireland,IRL,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
22730,"James ""Jim"" Conroy",M,37,179,127,Ireland,IRL,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
22815,Alain Convard,M,25,189,NA,France,FRA,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
23776,Gilles Cresto,M,24,183,74,Monaco,MON,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
23776,Gilles Cresto,M,29,183,74,Monaco,MON,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
24182,"Timothy John ""Tim"" Cuddihy",M,17,184,84,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,Bronze
24205,Elias Miguel Cuesta Cobo,M,27,177,76,Spain,ESP,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
24447,Pieter Johan Jozef Maria Custers,M,20,188,77,Netherlands,NED,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
24913,Dai Xiaoxiang,M,21,178,70,China,CHN,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,Bronze
24986,Niels Dall,M,23,180,76,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
25069,"Jozef ""Jos"" Daman",M,26,167,NA,Belgium,BEL,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
25130,Dhulchand Damor,M,27,NA,NA,India,IND,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
25197,Lucas Daniel,M,21,180,80,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
25425,Atanu Das,M,24,175,79,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
25559,Areneo David,M,21,164,58,Malawi,MAW,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
25830,Marcus Vincius Carvalho Lopes D'Almeida,M,18,183,90,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
26134,Jocelyn de Grandis,M,19,180,63,France,FRA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
26134,Jocelyn de Grandis,M,23,180,63,France,FRA,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
26237,Patrick De Koning,M,23,178,92,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
26237,Patrick De Koning,M,27,178,92,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
27825,Daniel Desnoyers,M,31,187,90,Canada,CAN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
28056,Ilario Di Bu,M,18,175,90,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
28056,Ilario Di Bu,M,22,175,90,Italy,ITA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
28056,Ilario Di Bu,M,26,175,90,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
28056,Ilario Di Bu,M,34,175,90,Italy,ITA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
28056,Ilario Di Bu,M,38,175,90,Italy,ITA,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
28056,Ilario Di Bu,M,42,175,90,Italy,ITA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
28424,Mitch Dielemans,M,23,186,75,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
29007,Rafa Dobrowolski,M,24,180,80,Poland,POL,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
29007,Rafa Dobrowolski,M,28,180,80,Poland,POL,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
29500,Skalzang Dorje,M,25,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
29503,Thinley Dorji,M,33,180,75,Bhutan,BHU,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
29503,Thinley Dorji,M,37,180,75,Bhutan,BHU,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
29719,Gerard Douis,M,32,178,75,France,FRA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
29807,Jacques Doyen,M,29,173,NA,France,FRA,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
30408,Crispin Nataniel Duenas,M,22,172,81,Canada,CAN,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
30408,Crispin Nataniel Duenas,M,26,172,81,Canada,CAN,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
30408,Crispin Nataniel Duenas,M,30,172,81,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
30556,Scott Dumbrell,M,19,182,66,Australia,AUS,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
30719,Duoji Qiuyun,M,25,174,75,China,CHN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
30909,Emilio Renato Dutra e Mello,M,25,167,72,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
30909,Emilio Renato Dutra e Mello,M,29,167,72,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
30909,Emilio Renato Dutra e Mello,M,33,167,72,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
30909,Emilio Renato Dutra e Mello,M,37,167,72,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
30959,Sultan Duzelbayev,M,22,176,46,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
31226,Peter Charles Ebden,M,18,174,74,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
31297,Juan Carlos Echavarra Dueas,M,22,179,71,Colombia,COL,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
31417,zcan Ediz,M,17,NA,NA,Turkey,TUR,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
31541,Riau Ega Agatha,M,24,175,70,Indonesia,INA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
31993,Ali Saleh El-Ghrari,M,19,NA,NA,Libya,LBA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
32112,Ahmed Mahmud Muhammad Saleh El-Nemr,M,33,183,84,Egypt,EGY,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
32112,Ahmed Mahmud Muhammad Saleh El-Nemr,M,37,183,84,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
32225,"Robert ""Rob"" Elder",M,23,194,115,Fiji,FIJ,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
32225,"Robert ""Rob"" Elder",M,31,194,115,Fiji,FIJ,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
32225,"Robert ""Rob"" Elder",M,35,194,115,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
32276,"Edwin Murry ""Ed"" Eliason",M,34,189,86,United States,USA,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
32384,Brady Lee Ellison,M,19,181,86,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
32384,Brady Lee Ellison,M,23,181,86,United States,USA,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
32384,Brady Lee Ellison,M,27,181,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,Bronze
32805,Vedat Erbay,M,21,186,67,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
32805,Vedat Erbay,M,25,186,67,Turkey,TUR,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
32863,Kemal Erer,M,36,NA,NA,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
32871,Yusuf Gktu Ergin,M,23,190,100,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
32981,Mattias Eriksson,M,18,197,80,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
32981,Mattias Eriksson,M,22,197,80,Sweden,SWE,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
32983,Niklas Eriksson,M,18,196,85,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
33064,Kerem Ers,M,21,190,83,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
33064,Kerem Ers,M,25,190,83,Turkey,TUR,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
33550,Elmer Ewert,M,37,181,NA,Canada,CAN,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,18,175,71,Australia,AUS,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,22,175,71,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,26,175,71,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,30,175,71,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,Gold
33805,Simon John Fairweather,M,34,175,71,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
33859,Ismo Kalevi Falck,M,22,172,70.5,Finland,FIN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
33859,Ismo Kalevi Falck,M,25,172,70.5,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
34242,Thomas Faucheron,M,22,175,72,France,FRA,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
34372,Jackson Campbell Fear,M,18,178,125,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
34545,Bruno Felipe,M,28,180,69,France,FRA,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
34625,Feng Zemin,M,26,172,73,China,CHN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
34788,Antonio Fernndez Fernndez,M,25,184,76,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
34943,Giancarlo Ferrari,M,29,166,70,Italy,ITA,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
34943,Giancarlo Ferrari,M,33,166,70,Italy,ITA,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,Bronze
34943,Giancarlo Ferrari,M,37,166,70,Italy,ITA,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,Bronze
34943,Giancarlo Ferrari,M,41,166,70,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
34943,Giancarlo Ferrari,M,45,166,70,Italy,ITA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
35602,Franck Fisseux,M,19,172,62,France,FRA,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
35954,Florian Floto,M,28,188,105,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
35971,Sbastien Flte,M,20,170,58,France,FRA,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,Gold
35971,Sbastien Flte,M,24,170,58,France,FRA,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
35971,Sbastien Flte,M,28,170,58,France,FRA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
36042,Fok Ming Shan,M,26,172,56,Hong Kong,HKG,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
36042,Fok Ming Shan,M,30,172,56,Hong Kong,HKG,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
36694,Claude Franclet,M,24,176,65,France,FRA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
36735,Michele Frangilli,M,20,181,110,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
36735,Michele Frangilli,M,24,181,110,Italy,ITA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
36735,Michele Frangilli,M,28,181,110,Italy,ITA,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
36735,Michele Frangilli,M,36,181,110,Italy,ITA,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
36781,Michael Frankenberg,M,26,187,88,Germany,GER,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
37220,Romeo Frigo,M,33,185,79,Switzerland,SUI,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
37399,Fu Shengjun,M,19,173,65,China,CHN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
37399,Fu Shengjun,M,27,173,65,China,CHN,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
37637,Fung Yik,M,32,NA,NA,Hong Kong,HKG,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
37700,Terushi Furuhashi,M,36,173,73,Japan,JPN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
37705,Takaharu Furukawa,M,20,174,89,Japan,JPN,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
37705,Takaharu Furukawa,M,23,174,89,Japan,JPN,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
37705,Takaharu Furukawa,M,27,174,89,Japan,JPN,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,Silver
37705,Takaharu Furukawa,M,31,174,89,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
37806,Willi Gabriel,M,36,165,63,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
38045,Marco Galiazzo,M,21,178,98,Italy,ITA,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,Gold
38045,Marco Galiazzo,M,25,178,98,Italy,ITA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
38045,Marco Galiazzo,M,29,178,98,Italy,ITA,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
38045,Marco Galiazzo,M,33,178,98,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
38176,Galsangiin Byambaa,M,34,167,NA,Mongolia,MGL,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
38222,"Edward G. ""Ed"" Gamble",M,40,173,61,Canada,CAN,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA
38362,Denis Pavlovich Gankin,M,22,183,68,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
38834,Armin Garnreiter,M,26,173,80,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
